Product ID,ItemName,UOM,Quantity Delivered,Contract Price,Value of Delivery,,,,,,,,,,,,,,,,,
346215559,Tomato Himsona,kg,1225.5,24,"29,412.00",,,,,,,,,,,,,,,,,
283778011,Red Potato,kg,655.5,20,"13,110.00",,,,,,,,,,,,,,,,,
30166,Babycorn,packet,71.1,24,"1,706.40",,,,,,,,,,,,,,,,,
30168,Water Melon Red,kg,1019.8,23,"23,455.40",,,,,,,,,,,,,,,,,
30210,Capsicum Red,kg,121.5,130,"15,795.00",,,,,,,,,,,,,,,,,
30011,Broccoli,kg,171.4,110,"18,854.00",,,,,,,,,,,,,,,,,
30241,Capsicum Yellow,kg,123.5,130,"16,055.00",,,,,,,,,,,,,,,,,
119829852,Apple Washington,kg,67,265,"17,755.00",,,,,,,,,,,,,,,,,
30239,Palak,kg,86.4,23,"1,987.20",,,,,,,,,,,,,,,,,
113948526,Pineapple Rani,pc,499,80,"39,920.00",,,,,,,,,,,,,,,,,
30199,Bhindi,kg,25.25,22,555.50,,,,,,,,,,,,,,,,,
30054,Red Globe,kg,10,280,"2,800.00",,,,,,,,,,,,,,,,,
30151,Cucumber White,kg,717.5,38,"27,265.00",,,,,,,,,,,,,,,,,
30221,Pumpkin,kg,128,18,"2,304.00",,,,,,,,,,,,,,,,,
30174,Bottle Gourd,kg,79.7,17,"1,354.90",,,,,,,,,,,,,,,,,
30040,Brinjal Black Big,kg,66.5,25,"1,662.50",,,,,,,,,,,,,,,,,
30196,Carrot Delhi,kg,148.5,28,"4,158.00",,,,,,,,,,,,,,,,,
30138,Peeled Garlic,kg,136.4,95,"12,958.00",,,,,,,,,,,,,,,,,
30071,Lettuce,kg,13.9,98,"1,362.20",,,,,,,,,,,,,,,,,
30193,Leeks,kg,5.5,95,522.50,,,,,,,,,,,,,,,,,
30225,Ginger,kg,88.47,80,"7,077.60",,,,,,,,,,,,,,,,,
30143,Cabbage Green,kg,188.5,18,"3,393.00",,,,,,,,,,,,,,,,,
472031695,LEMON GREEN,kg,47.3,70,"3,311.00",,,,,,,,,,,,,,,,,
30115,Pokchoy,kg,5.35,105,561.75,,,,,,,,,,,,,,,,,
30108,Capsicum Green,kg,108,42,"4,536.00",,,,,,,,,,,,,,,,,
30207,Tomato Red Cherry,box,7.5,190,"1,425.00",,,,,,,,,,,,,,,,,
30029,Lemongrass,kg,1.9,100,190.00,,,,,,,,,,,,,,,,,
133089973,Banana,Each,266,5,"1,330.00",,,,,,,,,,,,,,,,,
108246355,AMERICAN CORN FROZEN,pkt,5,68,340.00,,,,,,,,,,,,,,,,,
30131,Celery,kg,4.6,100,460.00,,,,,,,,,,,,,,,,,
30006,Carrot,kg,30,28,840.00,,,,,,,,,,,,,,,,,
30209,Cabbage Chinese,kg,3.6,90,324.00,,,,,,,,,,,,,,,,,
30046,Potato,kg,50,16,800.00,,,,,,,,,,,,,,,,,
30032,Chilli Green,kg,32.9,30,987.00,,,,,,,,,,,,,,,,,
30190,Basil Italian,kg,4.6,140,644.00,,,,,,,,,,,,,,,,,
30156,Beet Root,kg,16,25,400.00,,,,,,,,,,,,,,,,,
30042,Lettuce Lolorosa Red,kg,5.8,145,841.00,,,,,,,,,,,,,,,,,
30177,Pomegranate,kg,2,120,240.00,,,,,,,,,,,,,,,,,
117549878,Microgreen Box,box,12,125,"1,500.00",,,,,,,,,,,,,,,,,
30041,Brinjal Black Round,kg,2,20,40.00,,,,,,,,,,,,,,,,,
