Item Name,Unit,Price,Quantity,Amount,Created
Hydroponic Tomato Red Candy,box,62.5,8,500,2-1-2023
Hydroponic Tomato Cherry,box,62.5,8,500,2-1-2023
Hydroponic Green Lettuce,kg,250,1,250,2-1-2023
Hydroponic Tomato,kg,50,20,1000,2-1-2023
Hydroponic Yellow Candy,box,62.5,8,500,2-1-2023
Carrot,kg,20,25,500,2-1-2023
Broccoli,kg,50,10,500,2-1-2023
Papaya,kg,40,15,600,2-1-2023
Chilli Green,kg,56.67,3,170.01,2-1-2023
Beans French,kg,40,5,200,2-1-2023
Red Globe,kg,375,12.8,4800,2-1-2023
Cauliflower,kg,20,10,200,2-1-2023
Dragon Fruit,pc,68.42,19,1299.98,2-1-2023
Mushroom,box,32,25,800,2-1-2023
Spring Onion,kg,40,2,80,2-1-2023
Capsicum Green,kg,40,10,400,2-1-2023
Shelled Sweetcorn,packet,15,10,150,2-1-2023
Sprouts Chana,box,18,5,90,2-1-2023
Cucumber White,kg,55,10,550,2-1-2023
Apple Granny Smith,kg,180,10,1800,2-1-2023
Beet Root,kg,30,10,300,2-1-2023
Babycorn,packet,28,10,280,2-1-2023
Pomegranate,kg,168,12.5,2100,2-1-2023
Coriander,kg,20,2,40,2-1-2023
Methi Sprouts,box,18,10,180,2-1-2023
Pumpkin,kg,40,5,200,2-1-2023
Ginger,kg,90,10,900,2-1-2023
Palak,kg,16,5,80,2-1-2023
Methi,Bunch,10,10,100,2-1-2023
Tendor Coconut,pc,37.5,40,1500,2-1-2023
Tenchi Pear,kg,265.63,12.8,3400.064,2-1-2023
Round Gourd,kg,40,5,200,2-1-2023
Local Guava,kg,44.44,22.5,999.9,2-1-2023
Pineapple Rani,pc,75,10,750,2-1-2023
Pineapple Raja,pc,66.67,12,800.04,2-1-2023
Achari Green Chilly,kg,50,10,500,2-1-2023
Avocado Newzeland,pc,353.49,43,15200.07,2-1-2023
Saag,Bunch,12,10,120,2-1-2023
Chango Apple,kg,130,10,1300,2-1-2023
Turnip(Shalgam),kg,20,5,100,2-1-2023
Himalayan Lion Apple,kg,172.22,19,3272.18,2-1-2023
Mushroom Loose,kg,115,15,1725,2-1-2023
ACHARI RED CHILLI,kg,100,10,1000,2-1-2023
BLACK CARROT,kg,80,5,400,2-1-2023
THAI GUAVA PINK,kg,115,10,1150,2-1-2023
Carrot,kg,24,10,240,2-2-2023
Green Peas,kg,40,20,800,2-2-2023
Papaya,kg,40,10,400,2-2-2023
Beans French,kg,40,10,400,2-2-2023
Brinjal Black Big,kg,18,10,180,2-2-2023
Brinjal Black Round,kg,30,10,300,2-2-2023
Cauliflower,kg,17.5,20,350,2-2-2023
Mint,kg,75,2,150,2-2-2023
Mushroom,box,30.67,15,460.05,2-2-2023
Capsicum Green,kg,40,10,400,2-2-2023
Blueberry,box,200,12,2400,2-2-2023
Apple Pink Lady,kg,178.95,19,3400.05,2-2-2023
Radish White,kg,10,25,250,2-2-2023
Bottle Gourd,kg,35,10,350,2-2-2023
Pomegranate,kg,162.6,12.3,1999.98,2-2-2023
Coriander,kg,20,5,100,2-2-2023
Pumpkin,kg,36,10,360,2-2-2023
Methi,Bunch,10,10,100,2-2-2023
Bitter Gourd,kg,80,10,800,2-2-2023
Tendor Coconut,pc,37.5,40,1500,2-2-2023
Sun Melon,kg,85.71,14,1199.94,2-2-2023
Tomato Himsona,kg,26.26,49.5,1299.87,2-2-2023
Pineapple Rani,pc,75,10,750,2-2-2023
Jacks Fruit,kg,50,13,650,2-2-2023
Avocado Newzeland,pc,361.9,42,15199.8,2-2-2023
Turnip(Shalgam),kg,20,5,100,2-2-2023
Black Grapes,kg,131.58,9.5,1250.01,2-2-2023
Chappan Kaddu,kg,40,7,280,2-2-2023
Mushroom Loose,kg,110,10,1100,2-2-2023
THAI GUAVA PINK,kg,115,10,1150,2-2-2023
FRESH CHIVES,kg,500,2,1000,2-2-2023
Brown Bread,Slice,7.142,28,199.976,2-2-2023
Epigamia Greek Yogurt Natural,box,167.62,8,1408.008,2-2-2023
Epigamia Greek Yogurt Blueberry 90Gm,box,41.9,6,294.138,2-2-2023
Epigamia Greek Yogurt Strawberry 90Gm,box,41.9,4,175.98,2-2-2023
Epigamia Greek Yogurt Mango 90Gm,box,41.9,6,263.97,2-2-2023
Epigamia Greek Yogurt Gy Mixed Berries,box,60.95,2,127.995,2-2-2023
Epigamia Wild Raspberry 90Gms,box,41.9,4,175.98,2-2-2023
Epigamia Greek Yogurt Natural 90Gms,box,41.9,6,263.97,2-2-2023
Epigamia Greek Yogurt Smoothi Mulberry,btl,60.95,3,191.9925,2-2-2023
Epigamia Greek Yogurt Strawberry Smoothie,btl,60.95,3,191.9925,2-2-2023
Epigamia Greek Yogurt Smoothie Blueberry,btl,60.95,3,191.9925,2-2-2023
Epigamia Greek Yogurt Smoothie Alphonso Mango,btl,60.95,3,191.9925,2-2-2023
Epigamia Greek Yogurt Strawberry Zero Sugar,box,60.95,2,127.995,2-2-2023
Dairy Naturals Cow Milk,pkt,41.5,6,249,2-2-2023
Doozy Dahi,jar,43,2,86,2-2-2023
Doozy Desi Cow Milk,pkt,31.5,5,157.5,2-2-2023
Happy Banana,kg,52,15,780,2-2-2023
Dairy Naturals Cow Milk,pkt,41.5,4,166,2-2-2023
Doozy Desi Cow Milk,pkt,31.5,4,126,2-2-2023
Doozy Farms Paneer,pkt,74.25,6,445.5,2-2-2023
Happy Banana,kg,52,15,780,2-2-2023
Parsley,box,18,10,180,2-2-2023
